,Col_3.OH10_000,Col_3.OH10_005,Col_3.OH10_010,Col_3.OH10_030,Col_3.OH10_090,Col_3.OH10_180,Col_3.OH10_0001,Col_3.OH10_0051,Col_3.OH10_0101,Col_3.OH10_0301,Col_3.OH10_0901,Col_3.OH10_1801,Col_3.OH10_0002,Col_3.OH10_0052,Col_3.OH10_0102,Col_3.OH10_0302,Col_3.OH10_0902,Col_3.OH10_1802,Col_3.OH10_0003,Col_3.OH10_0103,Col_3.OH10_0303,Col_3.OH10_0903,Col_3.OH10_1803
77,7.360739903,6.998509642,7.364547014,7.142827401,6.877296071,6.703188113,7.401231264,7.501634458,7.463363046,7.487733761,7.326465614,7.635786861,7.300472814,7.21303166,7.307202315,7.467942332,7.531552381,7.542213463,7.232010332,7.198183577,7.129297549,7.041411664,7.31521839
78,7.467371067,7.127693699,7.280697195,7.095893221,7.076653815,6.74051936,7.194436851,7.381501895,7.498869734,7.557472902,7.358193753,7.612336837,7.291656209,7.242082359,7.187657164,7.468513271,7.530479995,7.524021415,7.295735073,7.286876412,7.118826249,7.069023427,7.389563954
79,7.985143931,7.756623335,7.942362238,7.554334824,7.591861715,7.40731771,7.784057003,7.944492164,7.93522954,8.117908942,8.026496939,8.250620082,7.787796878,7.708859601,7.689828669,8.053251154,8.11342664,8.007034012,7.884576511,7.735433352,7.682482447,7.726212651,7.987184748
80,6.617402978,6.472346295,6.495265556,6.385194399,6.184148891,5.501258211,6.543911846,6.587550015,6.726233402,6.663132696,6.632001777,6.693323668,6.568077911,6.630683386,6.523562306,6.680854679,6.65929392,6.800170068,6.395261598,6.357842267,6.333279628,6.455198563,6.490723535
81,7.410951876,7.079184395,7.044032897,6.880384082,6.643789733,6.535241271,7.103322063,7.147559271,7.183870715,7.210818453,7.081708586,7.361375429,7.082548569,7.050989447,7.019296654,7.21303166,7.33171497,7.320526962,6.940222469,6.918695219,6.80461452,6.774223886,7.060476366
82,6.068425588,5.92157842,6.013715156,5.805134969,5.451038454,5.068904202,6.033086222,6.061456919,6.073044534,6.228511004,6.194405391,6.161207322,5.981414211,6.054439346,5.82008293,6.200509174,6.21860012,6.208590026,5.783825182,5.752572639,5.645446898,5.780743516,5.902633333
83,8.437283808,8.124446856,8.121183242,7.958576904,7.869401713,7.661056382,8.222016437,8.320934969,8.34877454,8.283746747,8.193400232,8.294549515,8.191186005,8.243808424,8.105005538,8.29304914,8.326274787,8.399760095,7.961021466,7.990238186,7.953669779,8.02059915,8.184234774
84,7.416378479,7.063903961,7.136483209,6.967909202,6.924612396,6.679599186,7.19142933,7.304515946,7.313886832,7.277938573,7.243512975,7.334981879,7.17395832,7.181591945,7.117205503,7.251344983,7.300472814,7.391415235,7.057897937,7.104965448,7.01301579,6.991176887,7.145984468
85,8.611229833,8.298539545,8.334471555,8.203030242,8.159660737,7.814399634,8.476996002,8.564839845,8.577723691,8.430763463,8.426173793,8.499029221,8.483222672,8.340217321,8.301769763,8.486940148,8.537975731,8.577723691,8.255568653,8.221478947,8.14293601,8.317766167,8.43901541
86,5.38907173,4.94875989,4.990432587,4.762173935,4.709530201,4.510859507,5.192956851,5.247024072,5.278114659,5.288267031,5.225746674,5.433722004,5.043425117,5.075173815,5.129898715,5.327876169,5.198497031,5.351858133,4.927253685,4.912654886,4.836281907,4.934473933,5.170483995
87,4.997212274,4.394449155,4.382026635,4.110873864,3.951243719,3.688879454,4.418840608,4.49980967,4.709530201,4.905274778,4.543294782,4.844187086,4.663439094,4.624972813,4.532599493,4.663439094,4.65396035,4.86753445,4.262679877,4.276666119,4.17438727,4.110873864,4.454347296
88,5.874930731,5.627621114,5.513428746,5.204006687,5.036952602,4.736198448,5.568344504,5.545177444,5.707110265,5.886104031,5.713732806,5.846438775,5.433722004,5.429345629,5.416100402,5.805134969,5.736572297,5.676753802,5.420534999,5.272999559,5.209486153,5.198497031,5.442417711
89,6.751101469,6.411818268,6.486160789,6.249975242,6.12905021,5.605802066,6.606650186,6.517671273,6.639875834,6.610696045,6.56667243,6.638567789,6.371611847,6.538139824,6.428105273,6.610696045,6.616065185,6.673297968,6.249975242,6.240275845,6.144185634,6.194405391,6.388561406
90,7.61283103,7.284134806,7.347943823,7.140453043,7.115582126,6.796823718,7.468513271,7.540621529,7.566828479,7.448333861,7.340835554,7.525639975,7.430707083,7.321188557,7.303843225,7.400009517,7.430707083,7.513163545,7.199678346,7.252053952,7.164720379,7.202661197,7.365812837
91,7.655390645,7.459914766,7.456454555,6.952728645,7.031741259,6.826545224,7.54538975,7.675081858,7.626082758,7.661997559,7.528331767,7.741533589,7.502738211,7.342779189,7.409741954,7.631916513,7.656810091,7.64921632,7.365812837,7.299121463,7.286876412,7.412160335,7.577121931
92,7.584773078,7.375882148,7.303170051,6.786716951,6.717804695,6.616065185,7.463936604,7.491087594,7.527255919,7.589335823,7.390798522,7.747164967,7.325148958,7.182352112,7.122059882,7.574045005,7.576609767,7.560080465,7.340835554,7.142036575,7.227662499,7.268223021,7.458186157
