"","Col_3-OH10_000","Col_3-OH10_005","Col_3-OH10_010","Col_3-OH10_030","Col_3-OH10_090","Col_3-OH10_180","Col_3-OH10_0001","Col_3-OH10_0051","Col_3-OH10_0101","Col_3-OH10_0301","Col_3-OH10_0901","Col_3-OH10_1801","Col_3-OH10_0002","Col_3-OH10_0052","Col_3-OH10_0102","Col_3-OH10_0302","Col_3-OH10_0902","Col_3-OH10_1802","Col_3-OH10_0003","Col_3-OH10_0103","Col_3-OH10_0303","Col_3-OH10_0903","Col_3-OH10_1803"
"V2904",0.619989755340722,0.596556450423237,0.608369494392797,0.593619200192264,0.620806714167807,0.632566097324979,0.587360109021171,0.592206344762524,0.560665694855033,0.585148318892855,0.655025476040227,0.64397764013727,0.569180235381923,0.6094962573984,0.5486122484069,0.581465075795361,0.654545152651831,0.657141987985141,0.598449746778446,0.551104305696618,0.524843622271863,0.575573263191444,0.6094962573984
"V2905",0.641456925968249,0.620941918231039,0.625003862330805,0.62638793794081,0.665553276061258,0.67032712726228,0.624876602185397,0.633130719049344,0.617903154723775,0.621613902378419,0.671066614595402,0.653409741359049,0.614573995511436,0.636098147045631,0.607880948680386,0.612158727290441,0.66753458753799,0.683000830884941,0.617478025601977,0.590348287723976,0.583788554747805,0.634024106037319,0.650046976645381
"V3147",0.674168803394959,0.634795924667567,0.635232898388708,0.657449468494072,0.702014424287433,0.706758457251488,0.636419670468684,0.658059864643499,0.648117599133586,0.623460525438127,0.712047577972381,0.700128548922772,0.649089679961851,0.665013746223626,0.616041448546388,0.626263293672501,0.71658946403892,0.732521923623482,0.655343637473662,0.623720231224951,0.599745745908942,0.678157267712481,0.69482881455193
"V3149",0.701548975197607,0.684138742162175,0.695273455301322,0.696665137703436,0.731837389508655,0.733039221531633,0.696821999218867,0.698935148442951,0.701692610317888,0.693763603317688,0.731225625300599,0.71093984872923,0.69225453646676,0.706496333445269,0.679286760944167,0.693473327243218,0.72152038736108,0.739303337359258,0.689868146328075,0.677391962382409,0.680132879320762,0.707149284280555,0.710270191869536
"V6",0.647760366995369,0.636739610273062,0.625887955354157,0.631306557676338,0.672518579702554,0.669137204315046,0.653163719712646,0.638108061332772,0.648028480459207,0.640760974906137,0.67537691723513,0.663435256997115,0.63758514903069,0.643212568544891,0.635990618158969,0.64125885144603,0.676504910307484,0.670698017792341,0.625636550433631,0.623978934448817,0.615750466670229,0.653409741359049,0.649089679961851
"V2729",0.616186475825264,0.582169814855184,0.58286790749519,0.577340216397751,0.642243161539486,0.642535529478659,0.585818887939822,0.5934190499306,0.618465888204056,0.598636341260848,0.648295459728671,0.646310900831689,0.587794561585251,0.616763521820344,0.579066425627056,0.592409881917259,0.649787338265818,0.651750962447761,0.559414150577548,0.554197703276456,0.541033748841923,0.58286790749519,0.593017074664064
"V2888",0.641357965134013,0.620263173966469,0.628230092505307,0.62280682759921,0.664810174612874,0.678590130808393,0.619439579990599,0.634686222109099,0.638212138625082,0.630958816400986,0.673172377903951,0.673467190371362,0.610605009919513,0.635232898388708,0.610132001722325,0.631996572000153,0.678048549259172,0.693265065353625,0.625762371375703,0.606561162602129,0.602797938138426,0.642243161539486,0.66029633010576
"V2890",0.655896518370774,0.624621352611706,0.63084249320729,0.622013899140798,0.674110652657214,0.678102933749372,0.634356003404956,0.649177311580712,0.644921244398691,0.634356003404956,0.677721176362734,0.67728181194175,0.636952030752104,0.638936024806859,0.619989755340722,0.628952866022773,0.669263580751911,0.696429014601296,0.62319980993016,0.617761740122045,0.605723447200556,0.646949131836084,0.677005526791994
"V3172",0.657372742001624,0.607880948680386,0.619989755340722,0.622013899140798,0.690089296499041,0.695554579560327,0.627865727559479,0.644921244398691,0.643882506437523,0.630022429921457,0.691742394715123,0.668756466021853,0.624749099229789,0.646219197834895,0.613678190547547,0.629430366317052,0.690616562941701,0.682246445007946,0.621480040427422,0.589295097820389,0.603148501424524,0.653327842072158,0.660661267298161
"V3474",0.665149080911004,0.633130719049344,0.639854963160718,0.656288430968058,0.708368625881779,0.685970826447448,0.651074919326036,0.653573217452983,0.663920033562866,0.658135740428663,0.712284104337728,0.710636493593507,0.646035392968993,0.640860859426399,0.621345912015179,0.649177311580712,0.730544072541276,0.730730857519477,0.641357965134013,0.605045979818145,0.614425504923586,0.691742394715123,0.700715721559827
"V3481",0.761284600024655,0.747435584939385,0.746387768414958,0.750030558805421,0.796724937415581,0.789592168560632,0.733688264941627,0.739093241160091,0.751536825999675,0.744568893618024,0.792701521079191,0.783156755019608,0.741423816318997,0.761240263161532,0.742761470087747,0.737343474453941,0.797556482085171,0.788955651712404,0.757789748493883,0.735057022775829,0.727436596058763,0.770851624081789,0.7726182410227
"V3487",0.532235631648859,0.467654665113572,0.495831977098307,0.501700174985162,0.572709958210464,0.587360109021171,0.504800414144205,0.503573326261015,0.518840388869821,0.508382267299425,0.589928841036273,0.576335630162179,0.502328968383357,0.536542826049922,0.478026312330494,0.496503327706716,0.589718206288249,0.582169814855184,0.485869395440992,0.469464119984965,0.472115319261419,0.555534637840701,0.578822253946587
"V3508",0.619577543687236,0.593218342369463,0.595200674080167,0.602091539034146,0.662665559162104,0.64397764013727,0.60401734780036,0.601018514230426,0.623330294349567,0.630958816400986,0.669578358509833,0.659485727560135,0.593218342369463,0.621345912015179,0.609015595492226,0.604875584752304,0.682297044762979,0.660661267298161,0.613828305938463,0.584697849378383,0.556849249186725,0.634024106037319,0.635450291233711
"V3519",0.595784864409125,0.559414150577548,0.569180235381923,0.542996061294343,0.614722165004273,0.614722165004273,0.581465075795361,0.581228665745665,0.590972948489544,0.562202331580668,0.617050223499065,0.606227279831011,0.571909849171094,0.588226445519701,0.568622374861738,0.559728925726781,0.618465888204056,0.613376971805547,0.567209648960439,0.552148906421632,0.553179933113676,0.592612847335836,0.583329666347262
